epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,3791.87,0.30685,0.24912,0.82491,0.93818,0.73348,0.81104,0.68777,0.41935,0.39388,0.87529,4.41723e-05,4.41723e-05,4.41723e-05
69,3847.36,0.30493,0.2441,0.82497,0.90887,0.74649,0.81499,0.68982,0.42651,0.40254,0.87055,4.3339e-05,4.3339e-05,4.3339e-05
70,3903.87,0.30813,0.24511,0.82272,0.91855,0.74076,0.81824,0.69991,0.42422,0.39128,0.86544,4.25058e-05,4.25058e-05,4.25058e-05
71,3959.26,0.31606,0.24846,0.82828,0.92156,0.74063,0.81458,0.69296,0.42615,0.38493,0.8674,4.16725e-05,4.16725e-05,4.16725e-05
72,4013.74,0.3024,0.24171,0.8199,0.92504,0.7395,0.81442,0.69443,0.42159,0.38807,0.86611,4.08393e-05,4.08393e-05,4.08393e-05
73,4068.25,0.29913,0.24425,0.8237,0.93768,0.74209,0.81739,0.6957,0.41842,0.3863,0.86307,4.0006e-05,4.0006e-05,4.0006e-05
74,4122.85,0.30153,0.24303,0.81774,0.92349,0.74317,0.8151,0.69707,0.40832,0.38355,0.85827,3.91728e-05,3.91728e-05,3.91728e-05
75,4177.32,0.30668,0.24184,0.82109,0.92407,0.74647,0.81913,0.69834,0.40728,0.36222,0.85656,3.83395e-05,3.83395e-05,3.83395e-05
76,4232.42,0.29838,0.23385,0.81712,0.94175,0.72959,0.81923,0.70217,0.41317,0.37652,0.85934,3.75063e-05,3.75063e-05,3.75063e-05
77,4289.04,0.3074,0.24015,0.82217,0.92554,0.74161,0.8213,0.70472,0.41588,0.37463,0.86436,3.6673e-05,3.6673e-05,3.6673e-05
78,4345.33,0.30709,0.24137,0.82231,0.93387,0.74552,0.82263,0.70552,0.41842,0.36448,0.86971,3.58397e-05,3.58397e-05,3.58397e-05
79,4402.18,0.29451,0.23325,0.82326,0.91673,0.74174,0.81829,0.70584,0.41637,0.39046,0.86451,3.50065e-05,3.50065e-05,3.50065e-05
80,4458.47,0.29653,0.23181,0.81938,0.96078,0.70899,0.81871,0.70746,0.41208,0.37546,0.86256,3.41733e-05,3.41733e-05,3.41733e-05
81,4512.45,0.29767,0.23635,0.81771,0.92914,0.73925,0.82175,0.70546,0.41728,0.38299,0.86669,3.334e-05,3.334e-05,3.334e-05
82,4566.83,0.292,0.22909,0.82063,0.92077,0.74205,0.81871,0.70401,0.41356,0.38328,0.86726,3.25067e-05,3.25067e-05,3.25067e-05
83,4623.25,0.29218,0.22528,0.81625,0.93912,0.73604,0.8216,0.70858,0.40743,0.36647,0.86459,3.16735e-05,3.16735e-05,3.16735e-05
84,4680.84,0.29307,0.22639,0.81649,0.93194,0.74168,0.8205,0.70654,0.42294,0.36756,0.87733,3.08403e-05,3.08403e-05,3.08403e-05
85,4737.01,0.29013,0.22528,0.81515,0.9345,0.73822,0.8216,0.70685,0.41357,0.37005,0.86866,3.0007e-05,3.0007e-05,3.0007e-05
86,4793.2,0.29412,0.22914,0.82199,0.91854,0.74792,0.82279,0.70577,0.41078,0.36678,0.86481,2.91737e-05,2.91737e-05,2.91737e-05
87,4848.99,0.29424,0.22707,0.81605,0.95066,0.72579,0.81823,0.69864,0.41578,0.37503,0.8674,2.83405e-05,2.83405e-05,2.83405e-05
88,4905.28,0.28838,0.22569,0.81986,0.9483,0.72564,0.82016,0.70408,0.41815,0.37836,0.87316,2.75072e-05,2.75072e-05,2.75072e-05
89,4961.85,0.28725,0.22554,0.81752,0.94215,0.73761,0.82033,0.70435,0.42307,0.37257,0.87649,2.6674e-05,2.6674e-05,2.6674e-05
90,5016.94,0.28794,0.22289,0.81699,0.93553,0.73903,0.81853,0.70222,0.42238,0.38051,0.87154,2.58407e-05,2.58407e-05,2.58407e-05
91,5072.22,0.28353,0.21798,0.81044,0.90043,0.74883,0.81576,0.70474,0.41813,0.36962,0.86768,2.50075e-05,2.50075e-05,2.50075e-05
92,5128.47,0.27919,0.21472,0.81085,0.91863,0.7582,0.82357,0.7054,0.40968,0.35511,0.85961,2.41743e-05,2.41743e-05,2.41743e-05
93,5183.58,0.28467,0.21648,0.81343,0.94191,0.7345,0.81696,0.70097,0.41388,0.37104,0.8636,2.3341e-05,2.3341e-05,2.3341e-05
94,5238.72,0.28281,0.21717,0.81472,0.94352,0.72971,0.81767,0.70687,0.40537,0.3685,0.86547,2.25077e-05,2.25077e-05,2.25077e-05
95,5294.51,0.28098,0.22202,0.81292,0.94036,0.73332,0.81153,0.70336,0.40553,0.36978,0.86483,2.16745e-05,2.16745e-05,2.16745e-05
96,5350.99,0.27828,0.21584,0.81179,0.95642,0.72841,0.81937,0.70777,0.40829,0.36658,0.8649,2.08413e-05,2.08413e-05,2.08413e-05
97,5407.06,0.28671,0.21775,0.81273,0.94521,0.73421,0.81799,0.70516,0.40027,0.35299,0.86176,2.0008e-05,2.0008e-05,2.0008e-05
